"Maximum head changes for Stress Period     1, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
        1,  -10.000    ,     5,     44,    416,  0.14067    ,   180.1694    ,   170.1694    
        2,  -10.000    ,     5,     44,    416,  0.15805    ,   170.1694    ,   160.1694    
        3, -0.53274    ,     5,     44,    416,  0.10000E-01,   160.1694    ,   159.6366    
        4,  -10.000    ,     5,     44,    416,  0.18961    ,   159.6366    ,   149.6366    
        5,  -10.000    ,     5,     44,    416,  0.23397    ,   149.6366    ,   139.6366    
        6,  -10.000    ,     5,     44,    416,  0.30543    ,   139.6366    ,   129.6366    
        7,  -6.3220    ,     5,     44,    416,  0.27801    ,   129.6366    ,   123.3146    
        8,  -4.4697    ,     5,     44,    416,  0.27223    ,   123.3146    ,   118.8449    
        9,  -3.4809    ,     5,     44,    416,  0.29132    ,   118.8449    ,   115.3640    
       10,  -3.3661    ,     5,     44,    416,  0.39751    ,   115.3640    ,   111.9978    
       11,  -2.4424    ,     5,     44,    416,  0.47872    ,   111.9978    ,   109.5555    
       12,  -1.5072    ,     5,     44,    416,  0.56670    ,   109.5555    ,   108.0483    
       13, -0.11168E-01,     5,     44,    416,  0.10000E-01,   108.0483    ,   108.0371    
       14, -0.57059    ,     5,     44,    416,  0.50000    ,   108.0371    ,   107.4665    
       15, -0.55250E-02,     5,     44,    416,  0.10000E-01,   107.4665    ,   107.4610    
       16, -0.28254    ,     5,     44,    416,  0.50000    ,   107.4610    ,   107.1785    
       17, -0.27050E-03,     5,     44,    416,  0.10000E-02,   107.1785    ,   107.1782    
       18, -0.14113    ,     5,     44,    416,  0.50000    ,   107.1782    ,   107.0371    
       19, -0.13623E-02,     5,     44,    416,  0.10000E-01,   107.0371    ,   107.0357    
       20, -0.69879E-01,     5,     44,    416,  0.50000    ,   107.0357    ,   106.9658    
       21, -0.67686E-03,     5,     44,    416,  0.10000E-01,   106.9658    ,   106.9651    
       22, -0.34600E-01,     5,     44,    416,  0.50000    ,   106.9651    ,   106.9305    
       23, -0.33552E-03,     5,     44,    416,  0.10000E-01,   106.9305    ,   106.9302    
       24, -0.17133E-01,     5,     44,    416,  0.50000    ,   106.9302    ,   106.9131    
       25, -0.16328E-03,     5,     44,    416,  0.10000E-01,   106.9131    ,   106.9129    
       26, -0.84865E-02,     5,     44,    416,  0.50000    ,   106.9129    ,   106.9044    
       27, -0.84658E-04,     5,     44,    416,  0.10000E-01,   106.9044    ,   106.9043    
       28, -0.84031E-02,     5,     44,    416,   1.0000    ,   106.9043    ,   106.8959    
"Maximum head changes for Stress Period     7, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
        1,  -10.000    ,     5,     44,    416,  0.14738    ,   106.8959    ,   96.89594    
        2,  -10.000    ,     5,     44,    416,  0.16551    ,   96.89594    ,   86.89594    
        3, -0.50421    ,     5,     44,    416,  0.10000E-01,   86.89594    ,   86.39173    
        4, -0.49916    ,     5,     44,    416,  0.10000E-01,   86.39173    ,   85.89256    
        5,  -10.000    ,     5,     44,    416,  0.20236    ,   85.89256    ,   75.89256    
        6,  -10.000    ,     5,     44,    416,  0.25370    ,   75.89256    ,   65.89257    
        7,  -10.000    ,     5,     44,    416,  0.33994    ,   65.89257    ,   55.89257    
        8,  -8.8798    ,     5,     44,    416,  0.45731    ,   55.89257    ,   47.01276    
        9,  -5.7137    ,     5,     44,    416,  0.54222    ,   47.01276    ,   41.29905    
       10, -0.46738E-01,     5,     44,    416,  0.10000E-01,   41.29905    ,   41.25232    
       11,  -2.3885    ,     5,     44,    416,  0.50000    ,   41.25232    ,   38.86379    
       12, -0.23054E-01,     5,     44,    416,  0.10000E-01,   38.86379    ,   38.84074    
       13,  -1.1827    ,     5,     44,    416,  0.50000    ,   38.84074    ,   37.65800    
       14, -0.11384E-01,     5,     44,    416,  0.10000E-01,   37.65800    ,   37.64662    
       15, -0.58567    ,     5,     44,    416,  0.50000    ,   37.64662    ,   37.06095    
       16, -0.56307E-02,     5,     44,    416,  0.10000E-01,   37.06095    ,   37.05532    
       17, -0.29002    ,     5,     44,    416,  0.50000    ,   37.05532    ,   36.76530    
       18, -0.27838E-02,     5,     44,    416,  0.10000E-01,   36.76530    ,   36.76251    
       19, -0.14361    ,     5,     44,    416,  0.50000    ,   36.76251    ,   36.61890    
       20, -0.13936E-03,     5,     44,    416,  0.10000E-02,   36.61890    ,   36.61876    
       21, -0.71735E-01,     5,     44,    416,  0.50000    ,   36.61876    ,   36.54702    
       22, -0.68846E-03,     5,     44,    416,  0.10000E-01,   36.54702    ,   36.54634    
       23, -0.35526E-01,     5,     44,    416,  0.50000    ,   36.54634    ,   36.51081    
       24, -0.34061E-03,     5,     44,    416,  0.10000E-01,   36.51081    ,   36.51047    
       25, -0.17593E-01,     5,     44,    416,  0.50000    ,   36.51047    ,   36.49288    
       26, -0.16807E-03,     5,     44,    416,  0.10000E-01,   36.49288    ,   36.49271    
       27, -0.87108E-02,     5,     44,    416,  0.50000    ,   36.49271    ,   36.48400    
       28, -0.85468E-04,     5,     44,    416,  0.10000E-01,   36.48400    ,   36.48392    
       29, -0.86286E-02,     5,     44,    416,   1.0000    ,   36.48392    ,   36.47529    
"Maximum head changes for Stress Period     8, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
        1,   10.000    ,     1,     47,    438,  0.13277    ,   67.29996    ,   77.29996    
        2,  -10.000    ,     5,     72,    455,  0.14034    ,   193.1351    ,   183.1351    
        3,  -10.000    ,     5,     72,    455,  0.16325    ,   183.1351    ,   173.1351    
        4,  -10.000    ,     5,     72,    455,  0.19509    ,   173.1351    ,   163.1351    
        5,  -10.000    ,     5,     72,    455,  0.24236    ,   163.1351    ,   153.1351    
        6,  -10.000    ,     5,     72,    455,  0.31989    ,   153.1351    ,   143.1351    
        7,  -8.8729    ,     5,     72,    455,  0.41733    ,   143.1351    ,   134.2622    
        8,   2.9868    ,     1,     47,    438,  0.23455    ,   133.8203    ,   136.8071    
        9,   1.6228    ,     1,     48,    438,  0.16914    ,   136.3643    ,   137.9871    
